iter	Passed	Remaining
0	259	259212
1	263	131548
2	268	89119
3	271	67696
4	275	54874
5	280	46470
6	284	40334
7	288	35731
8	292	32176
9	295	29292
10	299	26907
11	302	24910
12	306	23307
13	310	21885
14	313	20584
15	317	19514
16	321	18586
17	325	17765
18	329	17002
19	333	16342
20	338	15795
21	342	15240
22	346	14705
23	350	14252
24	354	13809
25	357	13400
26	362	13059
27	366	12726
28	370	12397
29	373	12086
30	377	11795
31	403	12203
32	409	12012
33	416	11831
34	420	11591
35	424	11363
36	428	11161
37	433	10977
38	437	10776
39	441	10603
40	446	10454
41	450	10272
42	453	10102
43	458	9971
44	462	9819
45	466	9666
46	469	9528
47	473	9383
48	476	9247
49	479	9118
50	483	8989
51	487	8884
52	490	8770
53	494	8657
54	496	8523
55	500	8432
56	504	8338
57	508	8262
58	513	8192
59	518	8128
60	522	8039
61	525	7947
62	529	7870
63	532	7793
64	535	7706
65	538	7622
66	541	7540
67	548	7524
68	552	7450
69	555	7378
70	558	7313
71	563	7257
72	566	7194
73	570	7134
74	575	7099
75	579	7043
76	582	6985
77	586	6929
78	592	6911
79	596	6854
80	599	6797
81	602	6746
82	607	6710
83	610	6659
84	614	6618
85	619	6582
86	623	6539
87	628	6514
88	632	6477
89	640	6471
90	643	6432
91	647	6387
92	651	6349
93	655	6319
94	659	6286
95	664	6253
96	667	6217
97	671	6177
98	674	6139
99	678	6107
100	682	6078
101	685	6039
102	689	6001
103	693	5972
104	697	5941
105	700	5907
106	703	5874
107	707	5845
108	711	5815
109	714	5783
110	717	5749
111	721	5716
112	725	5691
113	728	5662
114	731	5631
115	734	5600
116	739	5578
117	742	5553
118	746	5524
119	749	5494
120	752	5467
121	755	5439
122	759	5412
123	763	5396
124	767	5370
125	770	5346
126	773	5320
127	776	5293
128	780	5269
129	784	5253
130	788	5230
131	791	5206
132	794	5182
133	799	5169
134	803	5147
135	806	5125
136	810	5102
137	816	5101
138	820	5083
139	824	5062
140	827	5043
141	831	5022
142	834	5001
143	839	4990
144	843	4975
145	847	4957
146	851	4940
147	854	4920
148	864	4938
149	868	4919
150	871	4898
151	875	4882
152	878	4864
153	881	4844
154	885	4824
155	888	4808
156	892	4791
157	895	4774
158	899	4755
159	901	4734
160	905	4721
161	909	4704
162	912	4688
163	916	4672
164	920	4656
165	923	4637
166	926	4620
167	929	4605
168	933	4589
169	936	4572
170	939	4554
171	942	4539
172	946	4522
173	951	4515
174	954	4501
175	957	4484
176	960	4468
177	964	4454
178	967	4437
179	971	4424
180	974	4410
181	978	4398
182	982	4385
183	985	4371
184	989	4357
185	991	4340
186	998	4339
187	1001	4326
188	1004	4311
189	1008	4301
190	1012	4288
191	1015	4274
192	1019	4264
193	1023	4251
194	1027	4242
195	1031	4229
196	1034	4218
197	1038	4205
198	1041	4193
199	1044	4179
200	1048	4168
201	1051	4155
202	1055	4145
203	1059	4132
204	1062	4119
205	1065	4105
206	1069	4097
207	1073	4087
208	1076	4073
209	1079	4061
210	1087	4064
211	1090	4053
212	1094	4042
213	1097	4030
214	1101	4022
215	1105	4011
216	1108	4000
217	1112	3988
218	1115	3979
219	1118	3966
220	1123	3958
221	1126	3947
222	1130	3938
223	1133	3928
224	1137	3917
225	1140	3906
226	1144	3895
227	1147	3886
228	1151	3875
229	1154	3864
230	1157	3852
231	1161	3844
232	1164	3832
233	1167	3821
234	1170	3810
235	1174	3800
236	1177	3791
237	1180	3780
238	1184	3770
239	1187	3760
240	1191	3752
241	1195	3743
242	1198	3732
243	1201	3722
244	1207	3719
245	1210	3710
246	1214	3702
247	1219	3696
248	1223	3689
249	1226	3680
250	1230	3671
251	1233	3661
252	1237	3653
253	1240	3644
254	1243	3634
255	1246	3623
256	1251	3616
257	1253	3606
258	1256	3596
259	1259	3585
260	1262	3574
261	1267	3570
262	1270	3561
263	1274	3552
264	1277	3544
265	1281	3536
266	1284	3526
267	1287	3517
268	1291	3508
269	1294	3500
270	1297	3491
271	1300	3481
272	1304	3473
273	1307	3464
274	1311	3457
275	1314	3447
276	1320	3446
277	1323	3438
278	1327	3431
279	1330	3422
280	1333	3413
281	1337	3404
282	1342	3401
283	1345	3393
284	1348	3384
285	1351	3375
286	1355	3368
287	1359	3360
288	1363	3353
289	1366	3344
290	1369	3336
291	1372	3328
292	1375	3320
293	1379	3312
294	1382	3304
295	1386	3297
296	1389	3289
297	1392	3281
298	1397	3277
299	1401	3271
300	1405	3263
301	1408	3255
302	1411	3247
303	1416	3243
304	1420	3235
305	1423	3227
306	1426	3220
307	1430	3214
308	1434	3207
309	1437	3199
310	1440	3192
311	1443	3183
312	1448	3179
313	1451	3172
314	1455	3164
315	1458	3157
316	1462	3151
317	1465	3143
318	1468	3135
319	1472	3128
320	1475	3122
321	1479	3114
322	1482	3107
323	1486	3101
324	1490	3094
325	1493	3087
326	1496	3079
327	1499	3072
328	1503	3065
329	1507	3059
330	1510	3052
331	1513	3045
332	1516	3037
333	1520	3031
334	1523	3025
335	1527	3018
336	1530	3010
337	1533	3002
338	1538	2999
339	1545	2999
340	1550	2995
341	1554	2991
342	1558	2984
343	1561	2977
344	1565	2971
345	1569	2966
346	1574	2962
347	1577	2956
348	1582	2951
349	1586	2945
350	1589	2939
351	1593	2933
352	1599	2930
353	1602	2924
354	1607	2920
355	1612	2917
356	1616	2911
357	1620	2906
358	1624	2900
359	1631	2899
360	1641	2905
361	1645	2900
362	1648	2893
363	1652	2887
364	1658	2885
365	1662	2879
366	1666	2873
367	1669	2867
368	1674	2863
369	1678	2857
370	1682	2852
371	1686	2846
372	1690	2841
373	1693	2834
374	1697	2828
375	1703	2826
376	1706	2820
377	1710	2815
378	1715	2811
379	1720	2806
380	1725	2803
381	1729	2798
382	1734	2794
383	1738	2788
384	1741	2782
385	1746	2777
386	1751	2773
387	1754	2767
388	1757	2760
389	1761	2754
390	1765	2749
391	1771	2748
392	1776	2743
393	1779	2736
394	1782	2730
395	1786	2724
396	1789	2718
397	1794	2714
398	1797	2707
399	1801	2702
400	1805	2697
401	1809	2691
402	1813	2685
403	1816	2679
404	1820	2674
405	1824	2668
406	1826	2661
407	1830	2655
408	1833	2648
409	1837	2644
410	1840	2637
411	1843	2631
412	1846	2624
413	1849	2617
414	1854	2614
415	1858	2608
416	1861	2602
417	1864	2596
418	1868	2591
419	1872	2585
420	1876	2580
421	1878	2573
422	1882	2568
423	1885	2561
424	1889	2556
425	1892	2549
426	1895	2542
427	1898	2537
428	1901	2530
429	1905	2526
430	1909	2520
431	1912	2514
432	1915	2508
433	1919	2503
434	1923	2497
435	1926	2492
436	1930	2486
437	1933	2481
438	1937	2475
439	1939	2468
440	1945	2465
441	1948	2459
442	1952	2454
443	1955	2448
444	1962	2447
445	1966	2442
446	1969	2436
447	1974	2432
448	1978	2428
449	1982	2423
450	1985	2417
451	1990	2412
452	1993	2407
453	1997	2402
454	2005	2401
455	2009	2396
456	2012	2391
457	2016	2385
458	2019	2380
459	2023	2374
460	2026	2369
461	2030	2364
462	2034	2360
463	2038	2354
464	2041	2349
465	2045	2343
466	2049	2338
467	2052	2333
468	2056	2328
469	2059	2322
470	2063	2317
471	2066	2311
472	2070	2306
473	2073	2301
474	2077	2296
475	2081	2291
476	2085	2286
477	2089	2281
478	2093	2277
479	2097	2271
480	2100	2266
481	2104	2261
482	2108	2256
483	2112	2251
484	2115	2246
485	2119	2241
486	2123	2236
487	2127	2231
488	2130	2226
489	2133	2221
490	2137	2215
491	2141	2210
492	2144	2205
493	2148	2200
494	2151	2194
495	2157	2192
496	2161	2187
497	2164	2182
498	2169	2178
499	2173	2173
500	2177	2168
